company_id,year,metric,computed,source,difference,category
GAIL,Mar 2022,ROE,19.19081635836167,14.0,5.19,Version Difference
GAIL,Mar 2023,ROE,8.61891046868021,14.0,5.38,Version Difference
GODREJCP,Mar 2013,ROE,25.505584062782976,6.77,18.74,Version Difference
GODREJCP,Mar 2014,ROE,21.695364238410598,6.77,14.93,Version Difference
GODREJCP,Mar 2015,ROE,22.639758756668986,6.77,15.87,Version Difference
GODREJCP,Mar 2016,ROE,19.475041012420906,6.77,12.71,Version Difference
GODREJCP,Mar 2017,ROE,24.669935873255376,6.77,17.9,Version Difference
GODREJCP,Mar 2018,ROE,26.110578459571748,6.77,19.34,Version Difference
GODREJCP,Mar 2019,ROE,32.22787945507087,6.77,25.46,Version Difference
GODREJCP,Mar 2020,ROE,18.95416561154723,6.77,12.18,Version Difference
GODREJCP,Mar 2021,ROE,18.23286365081047,6.77,11.46,Version Difference
GODREJCP,Mar 2022,ROE,15.429214260989962,6.77,8.66,Version Difference
GODREJCP,Mar 2023,ROE,12.338697984630999,6.77,5.57,Version Difference
GODREJCP,Mar 2024,ROE,-4.45308779171297,6.77,11.22,Version Difference
GRASIM,Mar 2013,ROE,19.219616421630974,6.9,12.32,Version Difference
GRASIM,Mar 2014,ROE,13.66643534582466,6.9,6.77,Version Difference
GRASIM,Mar 2016,ROE,12.596157351708046,6.9,5.7,Version Difference
GRASIM,Mar 2017,ROE,13.527893713958008,6.9,6.63,Version Difference
GRASIM,Mar 2022,ROE,14.803365962562253,6.9,7.9,Version Difference
GRASIM,Mar 2023,ROE,14.068730791699474,6.9,7.17,Version Difference
HAL,Mar 2017,ROE,1966.9172932330828,28.9,1938.02,Version Difference
HAL,Mar 2018,ROE,1528.4615384615386,28.9,1499.56,Version Difference
HAL,Mar 2019,ROE,1763.9097744360904,28.9,1735.01,Version Difference
HAL,Mar 2020,ROE,2059.4202898550725,28.9,2030.52,Version Difference
HAL,Mar 2021,ROE,2249.3055555555557,28.9,2220.41,Version Difference
HAL,Mar 2022,ROE,3324.183006535948,28.9,3295.28,Version Difference
HAL,Mar 2023,ROE,3283.050847457627,28.9,3254.15,Version Difference
HAL,Mar 2024,ROE,3816.5829145728644,28.9,3787.68,Version Difference
HAVELLS,Mar 2013,ROE,40.29126213592233,18.0,22.29,Version Difference
HAVELLS,Mar 2014,ROE,26.770708283313326,18.0,8.77,Version Difference
HAVELLS,Mar 2016,ROE,42.94681202510737,18.0,24.95,Version Difference
HCLTECH,Jun 2013,ROE,30.689759951382555,23.3,7.39,Version Difference
HCLTECH,Jun 2014,ROE,33.39130434782609,23.3,10.09,Version Difference
HCLTECH,Jun 2015,ROE,30.30878467635403,23.3,7.01,Version Difference
HDFCLIFE,Mar 2013,ROE,33.43305908750935,11.4,22.03,Version Difference
HDFCLIFE,Mar 2014,ROE,37.60373443983403,11.4,26.2,Version Difference
HDFCLIFE,Mar 2015,ROE,30.932703659976386,11.4,19.53,Version Difference
HDFCLIFE,Mar 2016,ROE,26.32935868514341,11.4,14.93,Version Difference
HDFCLIFE,Mar 2017,ROE,23.183481442760062,11.4,11.78,Version Difference
HDFCLIFE,Mar 2018,ROE,23.52816153028693,11.4,12.13,Version Difference
HDFCLIFE,Mar 2019,ROE,22.651542006380716,11.4,11.25,Version Difference
HDFCLIFE,Mar 2020,ROE,19.05391508741002,11.4,7.65,Version Difference
HEROMOTOCO,Mar 2014,ROE,37.38218033078428,22.0,15.38,Version Difference
HEROMOTOCO,Mar 2015,ROE,36.14678899082569,22.0,14.15,Version Difference
HEROMOTOCO,Mar 2016,ROE,35.22752999773602,22.0,13.23,Version Difference
